REF_DATE	Month of death	VALUE
2008	Month of death, November	19905
2008	Month of death, December	21307
2009	Month of death, January	22250
2009	Month of death, February	19233
2009	Month of death, March	21141
2009	Month of death, April	19629
2009	Month of death, May	19891
2009	Month of death, June	18571
2009	Month of death, July	18735
2009	Month of death, August	18813
2009	Month of death, September	18351
2009	Month of death, October	20569
2009	Month of death, November	20250
2009	Month of death, December	20985
2010	Month of death, January	21316
2010	Month of death, February	18908
2010	Month of death, March	20953
2010	Month of death, April	19944
2010	Month of death, May	19830
2010	Month of death, June	18484
2010	Month of death, July	19554
2010	Month of death, August	19113
2010	Month of death, September	19061
2010	Month of death, October	20937
2010	Month of death, November	19997
2010	Month of death, December	21978
2011	Month of death, January	23150
2011	Month of death, February	20204
2011	Month of death, March	21967
2011	Month of death, April	20350
2011	Month of death, May	20208
2011	Month of death, June	18976
2011	Month of death, July	19295
2011	Month of death, August	19137
2011	Month of death, September	18772
2011	Month of death, October	20280
2011	Month of death, November	20012
2011	Month of death, December	21160
2012	Month of death, January	22399
2012	Month of death, February	20178
2012	Month of death, March	21467
2012	Month of death, April	20407
2012	Month of death, May	20382
2012	Month of death, June	18921
2012	Month of death, July	19482
2012	Month of death, August	19742
2012	Month of death, September	19118
2012	Month of death, October	20786
2012	Month of death, November	20380
2012	Month of death, December	23334
2013	Month of death, January	25596
2013	Month of death, February	20730
2013	Month of death, March	21832
2013	Month of death, April	20882
2013	Month of death, May	20603
2013	Month of death, June	19171
2013	Month of death, July	20087
2013	Month of death, August	19561
2013	Month of death, September	19355
2013	Month of death, October	20852
2013	Month of death, November	20857
2013	Month of death, December	22812
2014	Month of death, January	23808
2014	Month of death, February	20563
2014	Month of death, March	22530
2014	Month of death, April	21378
2014	Month of death, May	21316
2014	Month of death, June	19933
2014	Month of death, July	20027
2014	Month of death, August	20350
2014	Month of death, September	20494
2014	Month of death, October	21771
2014	Month of death, November	21977
2014	Month of death, December	24674
2015	Month of death, January	26946
2015	Month of death, February	22453
2015	Month of death, March	23758
2015	Month of death, April	22073
2015	Month of death, May	21827
2015	Month of death, June	19811
2015	Month of death, July	20451
2015	Month of death, August	20323
2015	Month of death, September	20189
2015	Month of death, October	22284
2015	Month of death, November	21415
2015	Month of death, December	22803
2016	Month of death, January	23719
2016	Month of death, February	22273
2016	Month of death, March	23950
2016	Month of death, April	22271
2016	Month of death, May	22008
2016	Month of death, June	20401
2016	Month of death, July	20850
2016	Month of death, August	21235
2016	Month of death, September	20783
2016	Month of death, October	22952
